dataSize, runTime
500,0.000133
600,0.00015
700,0.000187
800,0.000196
900,0.000219
1000,0.000248
1100,0.000283
1200,0.000304
1300,0.000361
1400,0.000359
1500,0.000391
1600,0.000398
1700,0.000427
1800,0.000475
1900,0.000465
2000,0.000491
2100,0.000501
2200,0.000525
2300,0.000567
2400,0.000584
2500,0.000608
2600,0.000659
2700,0.000663
2800,0.000689
2900,0.00073
3000,0.000823
3100,0.000867
3200,0.000859
3300,0.001032
3400,0.001753
3500,0.001009
3600,0.000915
3700,0.000927
3800,0.00096
3900,0.001001
4000,0.00101
4100,0.001038
4200,0.001064
4300,0.0011
4400,0.001115
4500,0.001221
4600,0.001358
4700,0.001328
4800,0.001312
4900,0.001272
5000,0.001331
5100,0.001353
5200,0.001348
5300,0.001374
5400,0.001419
5500,0.001611
5600,0.001456
5700,0.001546
5800,0.001512
5900,0.001604
6000,0.001579
6100,0.001601
6200,0.001628
6300,0.001663
6400,0.001684
6500,0.001722
6600,0.001748
6700,0.00177
6800,0.001791
6900,0.001801
7000,0.001852
7100,0.001873
7200,0.001909
7300,0.001921
7400,0.001953
7500,0.001991
7600,0.002029
7700,0.00205
7800,0.002078
7900,0.002103
8000,0.002137
8100,0.002154
8200,0.00217
8300,0.00221
8400,0.002251
8500,0.002586
8600,0.00265
8700,0.002316
8800,0.002348
8900,0.002378
9000,0.002454
9100,0.002588
9200,0.002462
9300,0.0025
9400,0.002514
9500,0.002555
9600,0.002579
9700,0.002675
9800,0.002627
9900,0.00319
10000,0.002697
10100,0.00274
10200,0.002799
10300,0.002775
10400,0.002836
10500,0.002863
